image,gt,pred,err,seconds
img_00.jpg,11,11,0,7.045049667358398
img_01.jpg,7,7,0,4.392198085784912
img_02.jpg,10,12,2,4.57817816734314
img_03.jpg,3,2,1,4.066774606704712
img_04.jpg,18,14,4,4.526256561279297
img_05.jpg,10,9,1,4.3558900356292725
img_06.jpg,35,16,19,5.373045206069946
img_07.jpg,21,18,3,5.312129020690918
img_08.jpg,35,29,6,5.806250810623169
img_09.jpg,21,17,4,5.282793998718262
img_10.jpg,20,21,1,4.632328510284424
img_11.jpg,27,13,14,5.338041305541992
img_12.jpg,51,70,19,13.725289344787598
img_13.jpg,47,36,11,6.7502946853637695
img_14.jpg,57,43,14,6.173979043960571
img_15.jpg,49,42,7,5.6344685554504395
img_16.jpg,59,25,34,5.4341630935668945
img_17.jpg,61,80,19,13.827896356582642
img_18.jpg,139,100,39,13.833757400512695
img_19.jpg,100,46,54,6.087950944900513
img_20.jpg,83,40,43,5.8496832847595215
img_21.jpg,99,61,38,4.649319410324097
img_22.jpg,162,86,76,6.487691879272461
img_23.jpg,101,None,None,13.797486066818237
