image,gt,pred,err,seconds
img_00.jpg,11,11,0,3.2997233867645264
img_01.jpg,7,8,1,7.687551259994507
img_02.jpg,10,21,11,8.900209665298462
img_03.jpg,3,4,1,7.0026280879974365
img_04.jpg,18,14,4,7.9573259353637695
img_05.jpg,10,9,1,7.352055549621582
img_06.jpg,35,18,17,8.70402216911316
img_07.jpg,21,20,1,8.43248963356018
img_08.jpg,35,36,1,8.808150053024292
img_09.jpg,21,23,2,8.596784114837646
img_10.jpg,20,12,8,7.5228047370910645
img_11.jpg,27,22,5,8.439384698867798
img_12.jpg,51,60,9,10.221935749053955
img_13.jpg,47,50,3,10.837960720062256
img_14.jpg,57,50,7,9.244658470153809
img_15.jpg,49,37,12,8.617202758789062
img_16.jpg,59,27,32,8.736386060714722
img_17.jpg,61,72,11,9.149334192276001
img_18.jpg,139,70,69,16.95172882080078
img_19.jpg,100,52,48,8.46179461479187
img_20.jpg,83,40,43,9.021474123001099
img_21.jpg,99,71,28,7.657104969024658
img_22.jpg,162,None,None,16.863203525543213
img_23.jpg,101,None,None,16.924926042556763
