image,gt,pred,err,seconds
img_00.jpg,11,None,None,6.584284782409668
img_01.jpg,7,None,None,11.855224132537842
img_02.jpg,10,None,None,27.68074655532837
img_03.jpg,3,None,None,28.74052143096924
img_04.jpg,18,None,None,19.721412420272827
img_05.jpg,10,None,None,28.858372688293457
img_06.jpg,35,None,None,19.857999324798584
img_07.jpg,21,None,None,50.80430269241333
img_08.jpg,35,None,None,14.686878442764282
img_09.jpg,21,None,None,28.465835571289062
img_10.jpg,20,None,None,19.869453191757202
img_11.jpg,27,None,None,15.178792953491211
img_12.jpg,51,None,None,14.547757863998413
img_13.jpg,47,None,None,14.359580039978027
img_14.jpg,57,None,None,19.44998574256897
img_15.jpg,49,None,None,14.796030282974243
img_16.jpg,59,None,None,19.309888124465942
img_17.jpg,61,None,None,14.842556476593018
img_18.jpg,139,None,None,48.727240324020386
img_19.jpg,100,None,None,48.41446018218994
img_20.jpg,83,None,None,15.32403564453125
img_21.jpg,99,None,None,19.98696541786194
img_22.jpg,162,None,None,12.6552095413208
img_23.jpg,101,None,None,47.908302783966064
