image,gt,pred,err,seconds
img_00.jpg,11,None,None,7.24393892288208
img_01.jpg,7,None,None,12.272024393081665
img_02.jpg,10,None,None,28.349687337875366
img_03.jpg,3,None,None,29.457238912582397
img_04.jpg,18,None,None,19.98940658569336
img_05.jpg,10,None,None,29.514875888824463
img_06.jpg,35,None,None,20.166263103485107
img_07.jpg,21,None,None,56.36974334716797
img_08.jpg,35,None,None,15.392729043960571
img_09.jpg,21,None,None,29.67791223526001
img_10.jpg,20,None,None,20.39505887031555
img_11.jpg,27,None,None,15.628967761993408
img_12.jpg,51,None,None,15.06743335723877
img_13.jpg,47,None,None,14.771135330200195
img_14.jpg,57,None,None,19.795007467269897
img_15.jpg,49,None,None,15.253396272659302
img_16.jpg,59,None,None,19.743091106414795
img_17.jpg,61,None,None,15.26254677772522
img_18.jpg,139,None,None,53.67065978050232
img_19.jpg,100,None,None,53.49462080001831
img_20.jpg,83,None,None,16.30540132522583
img_21.jpg,99,None,None,20.651811122894287
img_22.jpg,162,None,None,13.191539764404297
img_23.jpg,101,None,None,54.3655960559845
